event_id,magnitude,depth_km,latitude,longitude,cdi,mmi,sig,nst,dmin,gap,tsunami_flag,year,month
eq_2018_12_146,7.5,10,-21.9496,169.427,3,6,871,0,2.405,18,1,2018,12
eq_2018_11_147,7.1,46.7,61.3464,-149.955,8,8,1790,0,0,0,1,2018,11
eq_2018_11_148,6.8,540,-17.8735,-178.927,0,3,711,0,2.879,39,1,2018,11
eq_2018_11_149,6.7,10,71.6312,-11.2431,3,4,693,0,7.853,19,1,2018,11
eq_2018_10_150,6.8,14,37.5203,20.5565,8,7,954,0,2.268,15,0,2018,10
eq_2018_10_151,6.5,10,49.297,-129.724,2,4,655,0,1.692,68,0,2018,10
eq_2018_10_152,6.8,10,49.3346,-129.289,4,4,776,0,1.505,36,1,2018,10
eq_2018_10_153,6.5,10,49.2586,-129.412,3,4,669,0,1.611,63,1,2018,10
eq_2018_10_154,6.5,17,-21.7427,169.522,0,4,650,0,2.109,22,1,2018,10
eq_2018_10_155,6.7,461,52.8549,153.243,0,3,691,0,2.705,17,1,2018,10
eq_2018_10_156,6.5,20,49.2902,156.297,0,4,650,0,3.923,14,1,2018,10
eq_2018_10_157,7,39,-5.7012,151.205,6,6,758,0,1.778,18,1,2018,10
eq_2018_9_158,6.7,550,-18.3604,-178.063,2,3,691,0,3.745,23,1,2018,9
eq_2018_9_159,7.5,20,-0.2559,119.846,8,8,2026,0,1.649,13,0,2018,9
eq_2018_9_160,6.5,576,-25.415,178.199,4,1,651,0,5.139,18,0,2018,9
eq_2018_9_161,6.9,115,-31.7447,-179.373,3,4,735,0,2.785,18,0,2018,9
eq_2018_9_162,6.5,68,-10.0207,161.503,3,6,651,0,1.638,25,1,2018,9
eq_2018_9_163,7.9,670.81,-18.4743,179.35,7,4,979,0,1.431,12,1,2018,9
eq_2018_9_164,6.6,35,42.6861,141.929,8,9,1075,0,1.13,32,1,2018,9
eq_2018_8_165,7.1,21.43,-22.0295,170.126,2,5,776,0,2.548,23,1,2018,8
eq_2018_8_166,7.1,630,-11.0355,-70.8284,0,3,776,0,3.77,12,0,2018,8
eq_2018_8_167,6.5,9,-16.0315,168.143,6,7,652,0,4.797,10,1,2018,8
eq_2018_8_168,7.3,146.82,10.7731,-62.9019,8,6,1570,0,1.822,15,1,2018,8
eq_2018_8_169,6.9,21,-8.319,116.627,7,7,1206,0,2.453,31,0,2018,8
eq_2018_8_170,8.2,600,-18.1125,-178.153,5,4,1050,0,3.63,13,1,2018,8
eq_2018_8_171,6.5,529,-7.3718,119.802,5,3,743,0,2.719,23,0,2018,8
eq_2018_8_172,6.5,33.93,51.4234,-178.026,6,6,655,0,0.576,22,1,2018,8
eq_2018_8_173,6.9,34,-8.2581,116.438,9,8,1704,0,2.271,15,0,2018,8
eq_2018_5_174,6.9,5.81,19.3182,-155,7,8,1392,63,0.11,210,1,2018,5
eq_2018_4_175,6.8,559,-20.6588,-63.0058,5,3,733,0,5.32,16,0,2018,4
eq_2018_3_176,6.9,35,-5.5321,151.5,9,6,741,0,1.487,18,1,2018,3
eq_2018_3_177,6.7,40,-5.5024,151.402,5,6,696,0,1.507,15,1,2018,3
eq_2018_3_178,6.8,22.86,-4.3762,153.2,6,6,719,0,1.049,16,1,2018,3
eq_2018_3_179,6.7,20.49,-6.3043,142.612,8,7,697,0,5.457,19,1,2018,3
eq_2018_2_180,7.5,25.21,-6.0699,142.754,9,8,943,0,5.48,17,1,2018,2
eq_2018_2_181,7.2,22,16.3855,-97.9787,7,7,1384,0,0.142,82,1,2018,2
eq_2018_1_182,7.9,14.06,56.0039,-149.166,9,4,1870,0,2.585,30,1,2018,1
eq_2018_1_183,7.1,39,-15.7675,-74.7092,9,7,1075,0,4.29,23,1,2018,1
eq_2018_1_184,7.5,19,17.4825,-83.52,8,5,1623,0,4.581,12,1,2018,1
eq_2017_12_185,6.5,90,-7.4921,108.174,8,7,998,0,2.365,28,0,2017,12
eq_2017_12_186,6.5,17,-54.2189,2.1628,1,5,651,0,17.654,23,1,2017,12
eq_2017_11_187,7,10,-21.3246,168.671,4,6,771,0,0.617,14,1,2017,11
eq_2017_11_188,6.6,13,-21.5027,168.598,4,5,676,0,0.529,21,1,2017,11
eq_2017_11_189,6.5,19.36,9.5147,-84.4865,8,8,1153,0,0.225,37,1,2017,11
eq_2017_11_190,7.3,19,34.9109,45.9592,8,9,2790,0,0.284,33,0,2017,11
eq_2017_11_191,6.5,110.57,-4.2433,143.485,6,5,661,0,4.449,10,1,2017,11
eq_2017_11_192,6.8,10,-15.3197,-173.168,5,5,727,0,4.852,21,1,2017,11
eq_2017_11_193,6.6,22,-21.6484,168.859,3,5,674,0,0.788,29,1,2017,11
eq_2017_10_194,6.7,24,-21.6971,169.148,3,4,691,0,1.062,55,1,2017,10
eq_2017_10_195,6.7,553.81,-7.2168,123.074,3,3,694,0,1.634,16,0,2017,10
eq_2017_10_196,6.5,119,52.3909,176.769,3,5,651,0,1.154,11,1,2017,10
eq_2017_9_197,7.1,48,18.5499,-98.4887,9,8,1686,0,0.984,23,0,2017,9
eq_2017_9_198,8.2,47.39,15.0222,-93.8993,9,7,2910,0,0.944,22,1,2017,9
eq_2017_8_199,6.5,9,33.1926,103.855,5,7,707,0,11.411,22,0,2017,8
eq_2017_7_200,6.6,7,36.9293,27.4139,7,7,1064,0,0.913,16,0,2017,7
eq_2017_7_201,7.7,10,54.4434,168.857,8,7,918,0,3.564,13,1,2017,7
eq_2017_7_202,6.6,10,-49.4837,164.016,5,4,704,0,3.773,37,1,2017,7
eq_2017_7_203,6.5,9,11.1269,124.629,9,8,740,0,4.139,30,1,2017,7
eq_2017_6_204,6.8,38.12,13.7174,-90.9718,6,6,1034,0,1.065,38,1,2017,6
eq_2017_6_205,6.9,93,14.9091,-92.0092,8,6,1188,0,0.247,35,1,2017,6
eq_2017_6_206,6.8,5,54.0312,170.92,0,4,711,0,2.308,12,1,2017,6
eq_2017_5_207,6.6,12,-1.2923,120.431,7,7,678,0,2.353,18,0,2017,5
