plant,country,reactors,latitude,longitude
CALLAWAY,UNITED STATES OF AMERICA,1,38.7583,-91.7817
CALVERT CLIFFS,UNITED STATES OF AMERICA,2,38.4347,-76.4419
CAORSO,ITALY,1,45.07206,9.87214
CATAWBA,UNITED STATES OF AMERICA,2,35.0514,-81.0694
CATTENOM,FRANCE,4,49.4136,6.21639
CEFR,CHINA,1,39.740929,116.030139
CERNAVODA,ROMANIA,2,44.322169,28.058041
CHANG JIANG,CHINA,2,19.423056,108.8125
CHAPELCROSS,UNITED KINGDOM,4,55.01566,-3.22605
CHASNUPP,PAKISTAN,4,32.390929,71.463095
CHERNOBYL,UKRAINE,4,51.389553,30.099147
CHIN SHAN,"TAIWAN, CHINA",2,25.286254,121.587677
CHINON,FRANCE,7,47.230649,0.169521
CHOOZ,FRANCE,3,50.09,4.78944
CIVAUX,FRANCE,2,46.456031,0.654284
CLINTON,UNITED STATES OF AMERICA,1,40.1719,-88.8342
COFRENTES,SPAIN,1,39.2167,-1.05
COLUMBIA,UNITED STATES OF AMERICA,1,46.471111,-119.333889
COMANCHE PEAK,UNITED STATES OF AMERICA,2,32.2978,-97.785
COOPER,UNITED STATES OF AMERICA,1,40.3619,-95.6411
CREYS-MALVILLE,FRANCE,1,45.758333,5.472222
CRUAS,FRANCE,4,44.6314,4.75556
CRYSTAL RIVER,UNITED STATES OF AMERICA,1,28.9572,-82.6989
CVTR,UNITED STATES OF AMERICA,1,34.2625,-81.329167
DAMPIERRE,FRANCE,4,47.7339,2.51611
DARLINGTON,CANADA,4,43.869268,-78.722457
DAVIS BESSE,UNITED STATES OF AMERICA,1,41.5972,-83.0864
DIABLO CANYON,UNITED STATES OF AMERICA,2,35.2117,-120.854
DODEWARRD,NETHERLANDS,1,51.899722,5.686111
DOEL,BELGIUM,4,51.325278,4.259356
DONALD COOK,UNITED STATES OF AMERICA,2,41.9761,-86.5664
DOUGLAS POINT,CANADA,1,44.326667,-81.6
DOUNREAY,UNITED KINGDOM,2,58.57814,-3.75233
DRESDEN,UNITED STATES OF AMERICA,3,41.3897,-88.2711
DUANE ARNOLD,UNITED STATES OF AMERICA,1,42.1006,-91.7772
DUKOVANY,CZECH REPUBLIC,4,49.086876,16.13826
DUNGENESS,UNITED KINGDOM,4,50.913889,0.963889
ELK RIVER,UNITED STATES OF AMERICA,1,45.295172,-93.5567
EMBALSE,ARGENTINA,1,-32.232154,-64.443385
EMSLAND (KKE),GERMANY,1,52.474231,7.317858
ENRICO FERMI,UNITED STATES OF AMERICA,3,41.9633,-83.2586
FANGCHENGGANG,CHINA,2,21.615298,108.347253
FARLEY,UNITED STATES OF AMERICA,2,31.2228,-85.1125
FESSENHEIM,FRANCE,2,47.9064,7.56528
FITZPATRICK,UNITED STATES OF AMERICA,1,43.5239,-76.3983
FLAMANVILLE,FRANCE,3,49.5358,-1.88139
FORSMARK,SWEDEN,3,60.402788,18.173758
FORT CALHOUN,UNITED STATES OF AMERICA,1,41.5208,-96.0767
FORT ST. VRAIN,UNITED STATES OF AMERICA,1,40.244444,-104.874167
FUGEN ATR,JAPAN,1,35.754444,136.016389
FUKUSHIMA-DAIICHI,JAPAN,6,37.42164,141.034658
FUKUSHIMA-DAINI,JAPAN,4,37.316229,141.026181
FUQING,CHINA,3,25.448056,119.450556
